idx,block,feePpm,sumSq
324,7426045349358816311,1055,327066822
325,7426045349358816311,1055,327066822
326,7426045349358816311,1055,327072751
327,7426045349358816311,1055,327075667
328,7426045349358816311,1055,327075667
329,7426045349358816311,1055,327075667
330,7426045349358816311,1055,327075667
331,7426045349358816311,1055,327075667
332,7426045349358816311,1055,327075667
333,7426045349358816311,1055,327088436
334,7426045349358816311,1455,327342452
335,7426045349358816311,1055,327353688
336,7426045349358816311,1055,327353688
337,7426045349358816311,1155,327402088
338,7426045349358816311,1455,327623929
339,7426045349358816311,1055,327627773
340,7426045349358816311,1055,327627773
341,7426045349358816311,1055,327636422
342,7426045349358816311,1055,327636951
343,7426045349358816311,1055,327646167
344,7426045349358816311,1055,327647191
345,7426045349358816311,1955,328034075
346,7426045349358816311,1055,328037439
347,7426045349358816311,1055,328044328
348,7426045349358816311,1055,328050889
349,7426045349358816311,1055,328052185
350,7426045349358816311,1055,328087529
351,7426045349358816311,1055,328088313
352,7426045349358816311,1055,328088313
353,7426045349358816311,1055,328088313
354,7426045349358816311,1155,328160137
355,7426045349358816311,1055,328183241
356,7426045349358816311,1455,328391177
357,7426045349358816311,1055,328391178
358,7426045349358816311,1055,328391178
359,7426045349358816311,1155,328540174
360,7426045349358816311,1055,328540210
361,7426045349358816311,1055,328540210
362,7426045349358816311,1055,328550411
363,7426045349358816311,1055,328550772
364,7426045349358816311,1055,328552141
365,7426045349358816311,1055,328552141
366,7426045349358816311,1055,328591742
367,7426045349358816311,1055,328596642
368,7426045349358816311,1055,328596867
369,7426045349358816311,1055,328597351
370,7426045349358816311,1055,328597351
371,7426045349358816311,1055,328597351
372,7426045349358816311,1055,328597351
373,7426045349358816311,1055,328597351
374,7426045349358816311,1055,328597351
375,7426045349358816311,1055,328597351
376,7426045349358816311,1055,328597351
377,7426045349358816311,1055,328597351
378,7426045349358816311,1055,328597352
379,7426045349358816311,1055,328597352
380,7426045349358816311,1055,328597352
381,7426045349358816311,1055,328597352
382,7426045349358816311,1055,328597352
383,7426045349358816311,1055,328597352
384,7426045349358816311,1055,328597353
385,7426045349358816311,1055,328597353
386,7426045349358816311,1055,328597353
387,7426045349358816311,1055,328597353
388,7426045349358816311,1055,328597353
389,7426045349358816311,1055,328597353
390,7426045349358816311,1055,328597453
391,7426045349358816311,1055,328610909
392,7426045349358816311,1455,328813409
393,7426045349358816311,1055,328818033
394,7426045349358816311,1055,328853754
395,7426045349358816311,1055,328853754
396,7426045349358816311,1055,328853754
397,7426045349358816311,1055,328853754
398,7426045349358816311,1055,328868638
399,7426045349358816311,1055,328868638
400,7426045349358816311,1055,328868638
401,7426045349358816311,1055,328868639
402,7426045349358816311,1055,328874568
403,7426045349358816311,1155,329059468
404,7426045349358816311,1055,329105693
405,7426045349358816311,1055,329118462
406,7426045349358816311,1055,329118466
407,7426045349358816311,1055,329118466
408,7426045349358816311,1055,329118466
409,7426045349358816311,1055,329118466
410,7426045349358816311,1055,329118466
411,7426045349358816311,1055,329163410
412,7426045349358816311,1455,329556539
413,7426045349358816311,1055,329557983
414,7426045349358816311,1955,330238608
415,7426045349358816311,1055,330244384
416,7426045349358816311,1055,330244388
417,7426045349358816311,1055,330244388
418,7426045349358816311,1155,330331413
419,7426045349358816311,1055,330334777
420,7426045349358816311,1055,330367901
421,7426045349358816311,1055,330368097
422,7426045349358816311,1155,330427146
423,7426045349358816311,1155,330511827
424,7426045349358816311,1155,330564727
425,7426045349358816311,1055,330564736
426,7426045349358816311,1055,330573761
427,7426045349358816311,1055,330591986
428,7426045349358816311,1155,330652502
429,7426045349358816311,1155,330743103
430,7426045349358816311,1155,330830128
431,7426045349358816311,1055,330830128
432,7426045349358816311,1055,330831284
433,7426045349358816311,1055,330831309
